age	workclass	fnlwgt	education	education.num	marital.status	occupation	relationship	race	sex	capital.gain	capital.loss	hours.per.week	native.country	income
35.31872197	Local-gov	174913.8463	Assoc-voc	10.01143203	Divorced	Tech-support	Not-in-family	White	Male	1574.46067	46.25813947	40.48301215	United-States	<=50K
35.31600016	Private	174905.8915	HS-grad	10.01136391	Married-civ-spouse	Adm-clerical	Wife	White	Female	1575.0373	46.24859631	40.48327994	United-States	<=50K
35.31327835	Private	174897.9366	Some-college	10.01129578	Divorced	Other-service	Unmarried	Black	Female	1575.613931	46.23905316	40.48354774	United-States	<=50K
35.31055653	Private	174889.9818	Masters	10.01122765	Divorced	Prof-specialty	Unmarried	White	Female	1576.190562	46.22951001	40.48381554	United-States	<=50K
35.30783472	Self-emp-inc	174882.0269	HS-grad	10.01115953	Married-civ-spouse	Craft-repair	Husband	White	Male	1576.767193	46.21996686	40.48408333	United-States	>50K
35.30511291	Local-gov	174874.0721	7th-8th	10.0110914	Married-civ-spouse	Transport-moving	Husband	White	Male	1577.343823	46.2104237	40.48435113	United-States	<=50K
35.3023911	Private	174866.1173	Some-college	10.01102328	Divorced	Sales	Unmarried	White	Male	1577.920454	46.20088055	40.48461893	United-States	>50K
35.29966928	Private	174858.1624	HS-grad	10.01095515	Widowed	Machine-op-inspct	Own-child	White	Female	1578.497085	46.1913374	40.48488673	United-States	<=50K
35.29694747	Private	174850.2076	Bachelors	10.01088702	Married-civ-spouse	Sales	Husband	White	Male	1579.073716	46.18179424	40.48515452	United-States	>50K
35.29422566	Self-emp-inc	174842.2527	Bachelors	10.0108189	Married-civ-spouse	Exec-managerial	Husband	White	Male	1579.650346	46.17225109	40.48542232	United-States	>50K
35.29150385	Local-gov	174834.2979	Bachelors	10.01075077	Married-civ-spouse	Prof-specialty	Husband	White	Male	1580.226977	46.16270794	40.48569012	United-States	<=50K
35.28878203	Self-emp-not-inc	174826.343	Some-college	10.01068264	Never-married	Farming-fishing	Own-child	White	Male	1580.803608	46.15316478	40.48595792	United-States	<=50K
35.28606022	Private	174818.3882	HS-grad	10.01061452	Never-married	Machine-op-inspct	Not-in-family	White	Male	1581.380239	46.14362163	40.48622571	United-States	<=50K
35.28333841	Private	174810.4333	HS-grad	10.01054639	Married-civ-spouse	Machine-op-inspct	Wife	Black	Female	1581.95687	46.13407848	40.48649351	?	<=50K
35.2806166	Private	174802.4785	Masters	10.01047827	Never-married	Prof-specialty	Not-in-family	White	Female	1582.5335	46.12453532	40.48676131	United-States	<=50K
35.27789478	Local-gov	174794.5236	Some-college	10.01041014	Never-married	Adm-clerical	Not-in-family	White	Female	1583.110131	46.11499217	40.48702911	United-States	<=50K
35.27517297	Private	174786.5688	7th-8th	10.01034201	Married-civ-spouse	Craft-repair	Husband	Black	Male	1583.686762	46.10544902	40.4872969	United-States	>50K
35.27245116	Private	174778.6139	HS-grad	10.01027389	Married-civ-spouse	Craft-repair	Husband	White	Male	1584.263393	46.09590586	40.4875647	United-States	<=50K
35.26972935	Private	174770.6591	HS-grad	10.01020576	Married-civ-spouse	Handlers-cleaners	Husband	White	Male	1584.840023	46.08636271	40.4878325	Mexico	<=50K
35.26700753	Private	174762.7042	HS-grad	10.01013764	Married-civ-spouse	Craft-repair	Husband	White	Male	1585.416654	46.07681956	40.4881003	United-States	>50K
35.26428572	Private	174754.7494	HS-grad	10.01006951	Married-civ-spouse	Craft-repair	Husband	White	Male	1585.993285	46.0672764	40.48836809	United-States	>50K
35.26156391	Private	174746.7945	HS-grad	10.01000138	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	1586.569916	46.05773325	40.48863589	United-States	<=50K
35.2588421	Private	174738.8397	Bachelors	10.00993326	Never-married	Prof-specialty	Not-in-family	White	Female	1587.146546	46.0481901	40.48890369	United-States	<=50K
35.25612028	Private	174730.8849	Some-college	10.00986513	Married-civ-spouse	Adm-clerical	Husband	White	Male	1587.723177	46.03864695	40.48917148	United-States	<=50K
35.25339847	Private	174722.93	HS-grad	10.009797	Married-civ-spouse	Adm-clerical	Wife	White	Female	1588.299808	46.02910379	40.48943928	United-States	<=50K
35.25067666	Private	174714.9752	Masters	10.00972888	Never-married	Exec-managerial	Not-in-family	White	Female	1588.876439	46.01956064	40.48970708	United-States	<=50K
35.24795485	?	174707.0203	7th-8th	10.00966075	Widowed	?	Unmarried	White	Female	1589.45307	46.01001749	40.48997488	United-States	<=50K
35.24523303	Private	174699.0655	HS-grad	10.00959263	Married-civ-spouse	Protective-serv	Husband	Black	Male	1590.0297	46.00047433	40.49024267	India	<=50K
35.24251122	Private	174691.1106	10th	10.0095245	Married-civ-spouse	Other-service	Husband	White	Male	1590.606331	45.99093118	40.49051047	Mexico	<=50K
35.23978941	Private	174683.1558	Some-college	10.00945637	Married-civ-spouse	Sales	Husband	White	Male	1591.182962	45.98138803	40.49077827	United-States	<=50K
35.2370676	State-gov	174675.2009	Assoc-voc	10.00938825	Divorced	Prof-specialty	Unmarried	White	Female	1591.759593	45.97184487	40.49104607	United-States	>50K
35.23434578	Federal-gov	174667.2461	Assoc-voc	10.00932012	Never-married	Prof-specialty	Other-relative	Asian-Pac-Islander	Male	1592.336223	45.96230172	40.49131386	United-States	<=50K
35.23162397	?	174659.2912	Assoc-voc	10.00925199	Never-married	?	Own-child	White	Male	1592.912854	45.95275857	40.49158166	United-States	<=50K
35.22890216	Private	174651.3364	Doctorate	10.00918387	Married-civ-spouse	Prof-specialty	Husband	White	Male	1593.489485	45.94321541	40.49184946	United-States	>50K
35.22618035	Private	174643.3815	Assoc-voc	10.00911574	Never-married	Other-service	Own-child	White	Male	1594.066116	45.93367226	40.49211726	United-States	<=50K
35.22345853	Private	174635.4267	11th	10.00904762	Never-married	Sales	Not-in-family	White	Female	1594.642746	45.92412911	40.49238505	United-States	<=50K
35.22073672	Self-emp-not-inc	174627.4718	HS-grad	10.00897949	Married-civ-spouse	Farming-fishing	Husband	White	Male	1595.219377	45.91458595	40.49265285	United-States	<=50K
35.21801491	Federal-gov	174619.517	Some-college	10.00891136	Divorced	Handlers-cleaners	Not-in-family	White	Male	1595.796008	45.9050428	40.49292065	United-States	<=50K
35.2152931	Private	174611.5622	HS-grad	10.00884324	Divorced	Sales	Unmarried	White	Female	1596.372639	45.89549965	40.49318844	United-States	<=50K
35.21257128	Self-emp-not-inc	174603.6073	HS-grad	10.00877511	Never-married	Sales	Not-in-family	Black	Male	1596.94927	45.8859565	40.49345624	United-States	<=50K
35.20984947	Private	174595.6525	HS-grad	10.00870698	Never-married	Exec-managerial	Own-child	White	Female	1597.5259	45.87641334	40.49372404	United-States	<=50K
35.20712766	Self-emp-inc	174587.6976	Doctorate	10.00863886	Married-civ-spouse	Prof-specialty	Husband	White	Male	1598.102531	45.86687019	40.49399184	United-States	>50K
35.20440585	Private	174579.7428	Some-college	10.00857073	Never-married	Other-service	Other-relative	White	Female	1598.679162	45.85732704	40.49425963	United-States	<=50K
35.20168403	?	174571.7879	HS-grad	10.00850261	Never-married	?	Own-child	Black	Male	1599.255793	45.84778388	40.49452743	United-States	<=50K
35.19896222	Private	174563.8331	Some-college	10.00843448	Never-married	Adm-clerical	Own-child	White	Female	1599.832423	45.83824073	40.49479523	United-States	<=50K
35.19624041	Private	174555.8782	Some-college	10.00836635	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	1600.409054	45.82869758	40.49506303	United-States	>50K
35.1935186	Private	174547.9234	10th	10.00829823	Never-married	Other-service	Not-in-family	White	Male	1600.985685	45.81915442	40.49533082	United-States	<=50K
35.19079678	Private	174539.9685	HS-grad	10.0082301	Never-married	Transport-moving	Not-in-family	White	Male	1601.562316	45.80961127	40.49559862	United-States	<=50K
35.18807497	Private	174532.0137	Some-college	10.00816198	Never-married	Prof-specialty	Own-child	White	Female	1602.138946	45.80006812	40.49586642	United-States	<=50K
35.18535316	Private	174524.0588	Some-college	10.00809385	Never-married	Adm-clerical	Unmarried	Black	Female	1602.715577	45.79052496	40.49613422	United-States	<=50K
35.18263135	Private	174516.104	HS-grad	10.00802572	Married-civ-spouse	Sales	Husband	White	Male	1603.292208	45.78098181	40.49640201	United-States	>50K
35.17990953	Private	174508.1491	HS-grad	10.0079576	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	1603.868839	45.77143866	40.49666981	United-States	<=50K
35.17718772	Private	174500.1943	HS-grad	10.00788947	Married-civ-spouse	Craft-repair	Husband	White	Male	1604.44547	45.7618955	40.49693761	United-States	>50K
35.17446591	Private	174492.2394	Some-college	10.00782134	Never-married	Other-service	Own-child	White	Female	1605.0221	45.75235235	40.4972054	United-States	<=50K
35.1717441	?	174484.2846	10th	10.00775322	Never-married	?	Own-child	White	Male	1605.598731	45.7428092	40.4974732	United-States	<=50K
35.16902228	Private	174476.3298	HS-grad	10.00768509	Never-married	Sales	Not-in-family	White	Female	1606.175362	45.73326604	40.497741	United-States	<=50K
35.16630047	Private	174468.3749	Some-college	10.00761697	Never-married	Exec-managerial	Own-child	White	Male	1606.751993	45.72372289	40.4980088	United-States	<=50K
35.16357866	Private	174460.4201	Bachelors	10.00754884	Married-civ-spouse	Exec-managerial	Husband	White	Male	1607.328623	45.71417974	40.49827659	United-States	>50K
35.16085685	Local-gov	174452.4652	HS-grad	10.00748071	Never-married	Prof-specialty	Unmarried	Black	Female	1607.905254	45.70463659	40.49854439	United-States	<=50K
35.15813503	Private	174444.5104	Some-college	10.00741259	Never-married	Sales	Not-in-family	White	Female	1608.481885	45.69509343	40.49881219	United-States	<=50K
35.15541322	Self-emp-not-inc	174436.5555	Some-college	10.00734446	Married-civ-spouse	Sales	Husband	White	Male	1609.058516	45.68555028	40.49907999	United-States	>50K
35.15269141	Private	174428.6007	HS-grad	10.00727633	Never-married	Adm-clerical	Own-child	White	Female	1609.635146	45.67600713	40.49934778	United-States	<=50K
35.1499696	State-gov	174420.6458	HS-grad	10.00720821	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	1610.211777	45.66646397	40.49961558	United-States	>50K
35.14724778	Private	174412.691	9th	10.00714008	Married-civ-spouse	Farming-fishing	Husband	White	Male	1610.788408	45.65692082	40.49988338	United-States	<=50K
35.14452597	Private	174404.7361	HS-grad	10.00707196	Married-civ-spouse	Craft-repair	Husband	White	Male	1611.365039	45.64737767	40.50015118	United-States	>50K
35.14180416	Private	174396.7813	Some-college	10.00700383	Married-civ-spouse	Tech-support	Husband	White	Male	1611.94167	45.63783451	40.50041897	United-States	<=50K
35.13908235	Private	174388.8264	5th-6th	10.0069357	Never-married	Farming-fishing	Own-child	White	Male	1612.5183	45.62829136	40.50068677	Mexico	<=50K
35.13636053	Private	174380.8716	HS-grad	10.00686758	Married-civ-spouse	Other-service	Husband	Black	Male	1613.094931	45.61874821	40.50095457	United-States	<=50K
35.13363872	Self-emp-inc	174372.9167	Some-college	10.00679945	Married-civ-spouse	Craft-repair	Husband	White	Male	1613.671562	45.60920505	40.50122236	United-States	<=50K
35.13091691	Private	174364.9619	Some-college	10.00673132	Married-civ-spouse	Adm-clerical	Husband	White	Male	1614.248193	45.5996619	40.50149016	United-States	<=50K
35.1281951	Private	174357.0071	Assoc-acdm	10.0066632	Married-civ-spouse	Adm-clerical	Wife	Black	Female	1614.824823	45.59011875	40.50175796	United-States	<=50K
35.12547328	Self-emp-not-inc	174349.0522	7th-8th	10.00659507	Widowed	Farming-fishing	Unmarried	White	Female	1615.401454	45.58057559	40.50202576	United-States	<=50K
35.12275147	Local-gov	174341.0974	Doctorate	10.00652695	Married-civ-spouse	Exec-managerial	Husband	White	Male	1615.978085	45.57103244	40.50229355	United-States	<=50K
35.12002966	Private	174333.1425	Some-college	10.00645882	Never-married	Craft-repair	Unmarried	White	Female	1616.554716	45.56148929	40.50256135	United-States	<=50K
35.11730785	Private	174325.1877	10th	10.00639069	Never-married	Farming-fishing	Not-in-family	White	Male	1617.131346	45.55194614	40.50282915	?	<=50K
35.11458603	Private	174317.2328	Bachelors	10.00632257	Married-civ-spouse	Exec-managerial	Husband	White	Male	1617.707977	45.54240298	40.50309695	United-States	>50K
35.11186422	Self-emp-not-inc	174309.278	Some-college	10.00625444	Married-civ-spouse	Craft-repair	Husband	White	Male	1618.284608	45.53285983	40.50336474	United-States	<=50K
35.10914241	Private	174301.3231	Some-college	10.00618632	Married-civ-spouse	Adm-clerical	Husband	White	Male	1618.861239	45.52331668	40.50363254	United-States	<=50K
35.1064206	Private	174293.3683	Some-college	10.00611819	Married-civ-spouse	Craft-repair	Husband	White	Male	1619.43787	45.51377352	40.50390034	United-States	>50K
35.10369878	Private	174285.4134	Some-college	10.00605006	Married-civ-spouse	Exec-managerial	Husband	White	Male	1620.0145	45.50423037	40.50416814	United-States	<=50K
35.10097697	Private	174277.4586	7th-8th	10.00598194	Divorced	Farming-fishing	Unmarried	White	Female	1620.591131	45.49468722	40.50443593	United-States	<=50K
35.09825516	Private	174269.5037	Some-college	10.00591381	Widowed	Adm-clerical	Not-in-family	White	Female	1621.167762	45.48514406	40.50470373	United-States	<=50K
35.09553335	Federal-gov	174261.5489	HS-grad	10.00584568	Divorced	Prof-specialty	Unmarried	Asian-Pac-Islander	Female	1621.744393	45.47560091	40.50497153	?	<=50K
35.09281153	Self-emp-not-inc	174253.594	Masters	10.00577756	Married-civ-spouse	Farming-fishing	Husband	White	Male	1622.321023	45.46605776	40.50523933	United-States	<=50K
35.09008972	?	174245.6392	HS-grad	10.00570943	Never-married	?	Own-child	Amer-Indian-Eskimo	Male	1622.897654	45.4565146	40.50550712	United-States	<=50K
35.08736791	Private	174237.6843	Bachelors	10.00564131	Separated	Prof-specialty	Other-relative	Black	Female	1623.474285	45.44697145	40.50577492	Jamaica	<=50K
35.0846461	Private	174229.7295	HS-grad	10.00557318	Divorced	Craft-repair	Not-in-family	White	Male	1624.050916	45.4374283	40.50604272	United-States	<=50K
35.08192428	Private	174221.7747	HS-grad	10.00550505	Never-married	Handlers-cleaners	Unmarried	Black	Female	1624.627546	45.42788514	40.50631051	United-States	<=50K
35.07920247	Private	174213.8198	HS-grad	10.00543693	Never-married	Sales	Not-in-family	White	Female	1625.204177	45.41834199	40.50657831	United-States	<=50K
35.07648066	Private	174205.865	11th	10.0053688	Separated	Craft-repair	Unmarried	White	Female	1625.780808	45.40879884	40.50684611	United-States	<=50K
35.07375885	Private	174197.9101	7th-8th	10.00530067	Married-civ-spouse	Transport-moving	Husband	White	Male	1626.357439	45.39925568	40.50711391	United-States	<=50K
35.07103703	State-gov	174189.9553	Doctorate	10.00523255	Never-married	Prof-specialty	Not-in-family	White	Male	1626.93407	45.38971253	40.5073817	United-States	<=50K
35.06831522	Private	174182.0004	Bachelors	10.00516442	Married-civ-spouse	Exec-managerial	Husband	White	Male	1627.5107	45.38016938	40.5076495	United-States	>50K
35.06559341	Private	174174.0456	Some-college	10.0050963	Divorced	Craft-repair	Own-child	White	Male	1628.087331	45.37062623	40.5079173	United-States	>50K
35.0628716	Private	174166.0907	Some-college	10.00502817	Never-married	Machine-op-inspct	Own-child	White	Male	1628.663962	45.36108307	40.5081851	United-States	<=50K
35.06014978	Private	174158.1359	Some-college	10.00496004	Married-civ-spouse	Transport-moving	Husband	White	Male	1629.240593	45.35153992	40.50845289	United-States	<=50K
35.05742797	State-gov	174150.181	HS-grad	10.00489192	Married-civ-spouse	Protective-serv	Husband	Asian-Pac-Islander	Male	1629.817223	45.34199677	40.50872069	United-States	>50K
35.05470616	Private	174142.2262	Some-college	10.00482379	Never-married	Handlers-cleaners	Own-child	White	Male	1630.393854	45.33245361	40.50898849	United-States	<=50K
35.05198435	Private	174134.2713	Assoc-voc	10.00475567	Married-civ-spouse	Craft-repair	Husband	White	Male	1630.970485	45.32291046	40.50925629	United-States	<=50K
35.04926253	?	174126.3165	Bachelors	10.00468754	Never-married	?	Not-in-family	Asian-Pac-Islander	Male	1631.547116	45.31336731	40.50952408	Taiwan	<=50K
35.04654072	Private	174118.3616	Assoc-voc	10.00461941	Never-married	Adm-clerical	Not-in-family	White	Male	1632.123746	45.30382415	40.50979188	United-States	>50K
35.04381891	Private	174110.4068	Bachelors	10.00455129	Married-civ-spouse	Sales	Husband	White	Male	1632.700377	45.294281	40.51005968	United-States	>50K
35.0410971	Private	174102.452	HS-grad	10.00448316	Married-civ-spouse	Craft-repair	Husband	White	Male	1633.277008	45.28473785	40.51032747	?	>50K
35.03837528	Private	174094.4971	Bachelors	10.00441503	Never-married	Prof-specialty	Own-child	White	Male	1633.853639	45.27519469	40.51059527	United-States	<=50K
35.03565347	Private	174086.5423	HS-grad	10.00434691	Separated	Other-service	Not-in-family	Black	Female	1634.43027	45.26565154	40.51086307	United-States	<=50K
35.03293166	?	174078.5874	Some-college	10.00427878	Never-married	?	Own-child	White	Female	1635.0069	45.25610839	40.51113087	United-States	<=50K
35.03020985	Local-gov	174070.6326	Masters	10.00421066	Married-civ-spouse	Prof-specialty	Wife	Black	Female	1635.583531	45.24656523	40.51139866	United-States	>50K
35.02748803	Private	174062.6777	7th-8th	10.00414253	Married-civ-spouse	Farming-fishing	Husband	White	Male	1636.160162	45.23702208	40.51166646	United-States	<=50K
35.02476622	State-gov	174054.7229	HS-grad	10.0040744	Married-civ-spouse	Sales	Husband	White	Male	1636.736793	45.22747893	40.51193426	United-States	<=50K
35.02204441	State-gov	174046.768	Bachelors	10.00400628	Married-civ-spouse	Exec-managerial	Husband	White	Male	1637.313423	45.21793578	40.51220206	United-States	>50K
35.0193226	Private	174038.8132	HS-grad	10.00393815	Married-civ-spouse	Craft-repair	Husband	White	Male	1637.890054	45.20839262	40.51246985	United-States	<=50K
35.01660078	Self-emp-not-inc	174030.8583	HS-grad	10.00387002	Divorced	Exec-managerial	Not-in-family	White	Female	1638.466685	45.19884947	40.51273765	United-States	<=50K
35.01387897	Private	174022.9035	HS-grad	10.0038019	Married-civ-spouse	Exec-managerial	Husband	Asian-Pac-Islander	Male	1639.043316	45.18930632	40.51300545	United-States	>50K
35.01115716	Private	174014.9486	Bachelors	10.00373377	Never-married	Handlers-cleaners	Not-in-family	Asian-Pac-Islander	Female	1639.619946	45.17976316	40.51327325	Haiti	<=50K
35.00843535	Private	174006.9938	Assoc-voc	10.00366565	Married-civ-spouse	Exec-managerial	Husband	White	Male	1640.196577	45.17022001	40.51354104	United-States	>50K
35.00571353	Private	173999.0389	Bachelors	10.00359752	Married-civ-spouse	Prof-specialty	Husband	White	Male	1640.773208	45.16067686	40.51380884	United-States	>50K
35.00299172	Private	173991.0841	Bachelors	10.00352939	Never-married	Exec-managerial	Own-child	Amer-Indian-Eskimo	Female	1641.349839	45.1511337	40.51407664	United-States	<=50K
35.00026991	Private	173983.1292	Masters	10.00346127	Never-married	Sales	Not-in-family	White	Male	1641.92647	45.14159055	40.51434443	United-States	>50K
34.9975481	Private	173975.1744	11th	10.00339314	Never-married	Other-service	Own-child	White	Female	1642.5031	45.1320474	40.51461223	United-States	<=50K
34.99482628	Self-emp-not-inc	173967.2196	1st-4th	10.00332501	Married-civ-spouse	Sales	Husband	White	Male	1643.079731	45.12250424	40.51488003	Mexico	<=50K
34.99210447	Self-emp-not-inc	173959.2647	Masters	10.00325689	Divorced	Prof-specialty	Unmarried	White	Female	1643.656362	45.11296109	40.51514783	United-States	<=50K
34.98938266	?	173951.3099	HS-grad	10.00318876	Married-civ-spouse	?	Husband	White	Male	1644.232993	45.10341794	40.51541562	United-States	>50K
34.98666085	Self-emp-not-inc	173943.355	HS-grad	10.00312064	Married-civ-spouse	Craft-repair	Husband	White	Male	1644.809623	45.09387478	40.51568342	Hungary	<=50K
34.98393903	Private	173935.4002	10th	10.00305251	Married-civ-spouse	Transport-moving	Husband	White	Male	1645.386254	45.08433163	40.51595122	United-States	<=50K
34.98121722	Private	173927.4453	HS-grad	10.00298438	Never-married	Adm-clerical	Own-child	White	Male	1645.962885	45.07478848	40.51621902	United-States	<=50K
34.97849541	Private	173919.4905	5th-6th	10.00291626	Never-married	Handlers-cleaners	Unmarried	White	Male	1646.539516	45.06524532	40.51648681	Guatemala	<=50K
34.9757736	Private	173911.5356	Some-college	10.00284813	Never-married	Other-service	Not-in-family	Black	Female	1647.116146	45.05570217	40.51675461	Jamaica	<=50K
34.97305178	Private	173903.5808	HS-grad	10.00278001	Married-civ-spouse	Exec-managerial	Husband	White	Male	1647.692777	45.04615902	40.51702241	United-States	<=50K
34.97032997	Private	173895.6259	Assoc-voc	10.00271188	Married-civ-spouse	Sales	Wife	White	Female	1648.269408	45.03661587	40.51729021	United-States	>50K
34.96760816	Private	173887.6711	10th	10.00264375	Married-spouse-absent	Handlers-cleaners	Not-in-family	White	Male	1648.846039	45.02707271	40.517558	United-States	<=50K
34.96488635	Private	173879.7162	Bachelors	10.00257563	Married-civ-spouse	Sales	Husband	White	Male	1649.42267	45.01752956	40.5178258	United-States	>50K
34.96216453	Private	173871.7614	Masters	10.0025075	Divorced	Exec-managerial	Not-in-family	White	Female	1649.9993	45.00798641	40.5180936	United-States	>50K
34.95944272	Private	173863.8065	HS-grad	10.00243937	Never-married	Other-service	Own-child	White	Female	1650.575931	44.99844325	40.5183614	United-States	<=50K
34.95672091	Private	173855.8517	HS-grad	10.00237125	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	1651.152562	44.9889001	40.51862919	United-States	<=50K
34.9539991	Private	173847.8969	Some-college	10.00230312	Never-married	Other-service	Own-child	White	Female	1651.729193	44.97935695	40.51889699	United-States	<=50K
34.95127728	Private	173839.942	HS-grad	10.002235	Never-married	Craft-repair	Not-in-family	White	Male	1652.305823	44.96981379	40.51916479	United-States	<=50K
34.94855547	Local-gov	173831.9872	Masters	10.00216687	Married-civ-spouse	Prof-specialty	Wife	White	Female	1652.882454	44.96027064	40.51943258	United-States	>50K
34.94583366	Private	173824.0323	HS-grad	10.00209874	Married-civ-spouse	Sales	Wife	White	Female	1653.459085	44.95072749	40.51970038	United-States	<=50K
34.94311185	Private	173816.0775	Some-college	10.00203062	Never-married	Other-service	Own-child	White	Female	1654.035716	44.94118433	40.51996818	United-States	<=50K
34.94039003	State-gov	173808.1226	Assoc-voc	10.00196249	Never-married	Tech-support	Not-in-family	White	Female	1654.612346	44.93164118	40.52023598	United-States	<=50K
34.93766822	Federal-gov	173800.1678	10th	10.00189436	Separated	Craft-repair	Not-in-family	White	Male	1655.188977	44.92209803	40.52050377	United-States	<=50K
34.93494641	Local-gov	173792.2129	Some-college	10.00182624	Married-civ-spouse	Exec-managerial	Wife	White	Female	1655.765608	44.91255487	40.52077157	United-States	>50K
34.9322246	Federal-gov	173784.2581	Bachelors	10.00175811	Never-married	Exec-managerial	Not-in-family	White	Male	1656.342239	44.90301172	40.52103937	United-States	>50K
34.92950278	Private	173776.3032	1st-4th	10.00168999	Never-married	Other-service	Own-child	Other	Male	1656.91887	44.89346857	40.52130717	Dominican-Republic	<=50K
34.92678097	Private	173768.3484	Some-college	10.00162186	Married-civ-spouse	Other-service	Husband	White	Male	1657.4955	44.88392542	40.52157496	United-States	<=50K
34.92405916	Self-emp-not-inc	173760.3935	Doctorate	10.00155373	Married-civ-spouse	Prof-specialty	Husband	White	Male	1658.072131	44.87438226	40.52184276	United-States	>50K
34.92133735	Private	173752.4387	HS-grad	10.00148561	Married-civ-spouse	Adm-clerical	Husband	White	Male	1658.648762	44.86483911	40.52211056	United-States	>50K
34.91861553	Private	173744.4838	Some-college	10.00141748	Never-married	Exec-managerial	Own-child	White	Female	1659.225393	44.85529596	40.52237836	United-States	<=50K
34.91589372	Self-emp-inc	173736.529	Some-college	10.00134936	Married-civ-spouse	Sales	Wife	White	Female	1659.802023	44.8457528	40.52264615	Canada	>50K
34.91317191	?	173728.5741	7th-8th	10.00128123	Never-married	?	Own-child	White	Male	1660.378654	44.83620965	40.52291395	United-States	<=50K
34.9104501	Private	173720.6193	HS-grad	10.0012131	Married-civ-spouse	Other-service	Husband	White	Male	1660.955285	44.8266665	40.52318175	United-States	>50K
34.90772828	State-gov	173712.6645	Some-college	10.00114498	Never-married	Prof-specialty	Own-child	White	Male	1661.531916	44.81712334	40.52344954	United-States	<=50K
34.90500647	Private	173704.7096	Some-college	10.00107685	Never-married	Adm-clerical	Own-child	White	Male	1662.108546	44.80758019	40.52371734	United-States	<=50K
34.90228466	Private	173696.7548	Bachelors	10.00100872	Married-civ-spouse	Exec-managerial	Husband	White	Male	1662.685177	44.79803704	40.52398514	United-States	<=50K
34.89956285	Private	173688.7999	Masters	10.0009406	Divorced	Other-service	Unmarried	White	Female	1663.261808	44.78849388	40.52425294	United-States	<=50K
34.89684103	Private	173680.8451	Bachelors	10.00087247	Never-married	Sales	Not-in-family	White	Male	1663.838439	44.77895073	40.52452073	United-States	<=50K
34.89411922	Private	173672.8902	9th	10.00080435	Widowed	Adm-clerical	Unmarried	White	Female	1664.41507	44.76940758	40.52478853	United-States	<=50K
34.89139741	Self-emp-inc	173664.9354	Some-college	10.00073622	Never-married	Sales	Not-in-family	White	Male	1664.9917	44.75986442	40.52505633	United-States	<=50K
34.8886756	?	173656.9805	HS-grad	10.00066809	Married-civ-spouse	?	Other-relative	White	Female	1665.568331	44.75032127	40.52532413	United-States	<=50K
34.88595378	?	173649.0257	Assoc-acdm	10.00059997	Never-married	?	Other-relative	White	Male	1666.144962	44.74077812	40.52559192	United-States	<=50K
34.88323197	Private	173641.0708	Bachelors	10.00053184	Married-civ-spouse	Prof-specialty	Husband	White	Male	1666.721593	44.73123496	40.52585972	?	<=50K
34.88051016	State-gov	173633.116	Doctorate	10.00046371	Never-married	Prof-specialty	Not-in-family	White	Female	1667.298223	44.72169181	40.52612752	United-States	>50K
34.87778835	Private	173625.1611	Assoc-voc	10.00039559	Never-married	Craft-repair	Not-in-family	White	Male	1667.874854	44.71214866	40.52639532	United-States	<=50K
34.87506653	Private	173617.2063	HS-grad	10.00032746	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	1668.451485	44.70260551	40.52666311	United-States	<=50K
34.87234472	Private	173609.2514	Assoc-acdm	10.00025934	Divorced	Sales	Unmarried	White	Female	1669.028116	44.69306235	40.52693091	United-States	<=50K
34.86962291	Private	173601.2966	HS-grad	10.00019121	Never-married	Adm-clerical	Not-in-family	White	Male	1669.604746	44.6835192	40.52719871	United-States	<=50K
34.8669011	Private	173593.3418	Some-college	10.00012308	Never-married	Prof-specialty	Not-in-family	White	Female	1670.181377	44.67397605	40.5274665	United-States	<=50K
34.86417928	Private	173585.3869	Some-college	10.00005496	Never-married	Sales	Not-in-family	Black	Male	1670.758008	44.66443289	40.5277343	United-States	<=50K
34.86145747	Private	173577.4321	Some-college	9.999986831	Married-civ-spouse	Sales	Husband	White	Male	1671.334639	44.65488974	40.5280021	United-States	<=50K
34.85873566	Private	173569.4772	HS-grad	9.999918705	Married-civ-spouse	Machine-op-inspct	Husband	Asian-Pac-Islander	Male	1671.91127	44.64534659	40.5282699	?	>50K
34.85601385	Private	173561.5224	Some-college	9.999850579	Never-married	Exec-managerial	Own-child	White	Female	1672.4879	44.63580343	40.52853769	United-States	<=50K
34.85329203	Private	173553.5675	Some-college	9.999782453	Married-civ-spouse	Craft-repair	Husband	Black	Male	1673.064531	44.62626028	40.52880549	United-States	<=50K
34.85057022	Private	173545.6127	Assoc-acdm	9.999714326	Never-married	Craft-repair	Own-child	Black	Female	1673.641162	44.61671713	40.52907329	United-States	<=50K
34.84784841	Private	173537.6578	Prof-school	9.9996462	Never-married	Prof-specialty	Own-child	White	Male	1674.217793	44.60717397	40.52934109	United-States	<=50K
34.8451266	Private	173529.703	Bachelors	9.999578074	Never-married	Adm-clerical	Not-in-family	White	Male	1674.794423	44.59763082	40.52960888	United-States	<=50K
34.84240478	Private	173521.7481	11th	9.999509948	Married-civ-spouse	Craft-repair	Husband	White	Male	1675.371054	44.58808767	40.52987668	United-States	<=50K
